2022-09-01 23:39:46,835 | INFO | Threshold level 0.01:
2022-09-01 23:39:46,835 | INFO | ---------------------

2022-09-01 23:39:46,859 | INFO | Beginning analysis on SVC with RBF Kernel:
2022-09-01 23:39:46,859 | INFO | -----------------------

2022-09-01 23:39:46,872 | INFO | Selecting 19 principal components making up 75% of the variance.

2022-09-01 23:39:49,039 | INFO | Best parameter set: {'C': 10, 'break_ties': False, 'class_weight': None, 'gamma': 0.01}

2022-09-01 23:39:49,040 | INFO | Best MCC score: 0.469

2022-09-01 23:39:49,045 | INFO | Training Accuracy: 0.793, Training MCC: 0.632, Validation Accuracy: 0.933, Validation MCC: 0.796, Fold: 1
2022-09-01 23:39:49,049 | INFO | Training Accuracy: 0.862, Training MCC: 0.713, Validation Accuracy: 0.667, Validation MCC: 0.472, Fold: 2
2022-09-01 23:39:49,052 | INFO | Training Accuracy: 0.862, Training MCC: 0.705, Validation Accuracy: 0.533, Validation MCC: 0.324, Fold: 3
2022-09-01 23:39:49,055 | INFO | Training Accuracy: 0.879, Training MCC: 0.780, Validation Accuracy: 0.667, Validation MCC: 0.289, Fold: 4
2022-09-01 23:39:49,059 | INFO | Training Accuracy: 0.845, Training MCC: 0.688, Validation Accuracy: 0.733, Validation MCC: 0.554, Fold: 5
2022-09-01 23:39:49,060 | INFO | AVG Training Accuracy: 0.848, AVG Training MCC: 0.704, AVG Validation Accuracy: 0.707, AVG Validation MCC: 0.487

2022-09-01 23:39:49,066 | INFO | Beginning analysis on XGBoost Classifier:
2022-09-01 23:39:49,066 | INFO | -----------------------

2022-09-01 23:39:49,096 | INFO | Selecting 24 principal components making up 75% of the variance.

2022-09-01 23:42:32,381 | INFO | Best parameter set: {'alpha': 0.4, 'gamma': 3, 'lambda': 1, 'max_depth': 2, 'n_estimators': 17, 'subsample': 1}

2022-09-01 23:42:32,381 | INFO | Best MCC score: 0.412

2022-09-01 23:42:32,418 | INFO | Training Accuracy: 0.690, Training MCC: 0.417, Validation Accuracy: 0.667, Validation MCC: -0.127, Fold: 1
2022-09-01 23:42:32,433 | INFO | Training Accuracy: 0.724, Training MCC: 0.349, Validation Accuracy: 0.467, Validation MCC: 0.000, Fold: 2
2022-09-01 23:42:32,457 | INFO | Training Accuracy: 0.672, Training MCC: 0.000, Validation Accuracy: 0.467, Validation MCC: 0.000, Fold: 3
2022-09-01 23:42:32,481 | INFO | Training Accuracy: 0.724, Training MCC: 0.471, Validation Accuracy: 0.667, Validation MCC: -0.116, Fold: 4
2022-09-01 23:42:32,496 | INFO | Training Accuracy: 0.724, Training MCC: 0.387, Validation Accuracy: 0.600, Validation MCC: 0.296, Fold: 5
2022-09-01 23:42:32,497 | INFO | AVG Training Accuracy: 0.707, AVG Training MCC: 0.325, AVG Validation Accuracy: 0.573, AVG Validation MCC: 0.011

2022-09-01 23:42:32,563 | INFO | Beginning analysis on Random Forest Classifier:
2022-09-01 23:42:32,563 | INFO | -----------------------

2022-09-01 23:42:32,581 | INFO | Selecting 21 principal components making up 75% of the variance.

2022-09-01 23:43:10,654 | INFO | Best parameter set: {'ccp_alpha': 0.1, 'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 17}

2022-09-01 23:43:10,655 | INFO | Best MCC score: 0.477

2022-09-01 23:43:10,678 | INFO | Training Accuracy: 0.948, Training MCC: 0.908, Validation Accuracy: 0.667, Validation MCC: -0.127, Fold: 1
2022-09-01 23:43:10,698 | INFO | Training Accuracy: 0.914, Training MCC: 0.828, Validation Accuracy: 0.600, Validation MCC: 0.371, Fold: 2
2022-09-01 23:43:10,720 | INFO | Training Accuracy: 0.931, Training MCC: 0.859, Validation Accuracy: 0.467, Validation MCC: 0.000, Fold: 3
2022-09-01 23:43:10,739 | INFO | Training Accuracy: 0.948, Training MCC: 0.906, Validation Accuracy: 0.667, Validation MCC: 0.144, Fold: 4
2022-09-01 23:43:10,760 | INFO | Training Accuracy: 0.948, Training MCC: 0.899, Validation Accuracy: 0.667, Validation MCC: 0.435, Fold: 5
2022-09-01 23:43:10,762 | INFO | AVG Training Accuracy: 0.938, AVG Training MCC: 0.880, AVG Validation Accuracy: 0.613, AVG Validation MCC: 0.164

2022-09-01 23:43:10,772 | INFO | Threshold level 0.01:
2022-09-01 23:43:10,773 | INFO | ---------------------

2022-09-01 23:43:10,798 | INFO | Beginning analysis on SVC with RBF Kernel:
2022-09-01 23:43:10,798 | INFO | -----------------------

2022-09-01 23:43:10,817 | INFO | Selecting 23 principal components making up 80% of the variance.

2022-09-01 23:43:11,147 | INFO | Best parameter set: {'C': 100, 'break_ties': False, 'class_weight': None, 'gamma': 0.001}

2022-09-01 23:43:11,148 | INFO | Best MCC score: 0.472

2022-09-01 23:43:11,153 | INFO | Training Accuracy: 0.810, Training MCC: 0.666, Validation Accuracy: 0.933, Validation MCC: 0.796, Fold: 1
2022-09-01 23:43:11,157 | INFO | Training Accuracy: 0.862, Training MCC: 0.713, Validation Accuracy: 0.667, Validation MCC: 0.472, Fold: 2
2022-09-01 23:43:11,161 | INFO | Training Accuracy: 0.862, Training MCC: 0.705, Validation Accuracy: 0.600, Validation MCC: 0.420, Fold: 3
2022-09-01 23:43:11,165 | INFO | Training Accuracy: 0.879, Training MCC: 0.780, Validation Accuracy: 0.733, Validation MCC: 0.375, Fold: 4
2022-09-01 23:43:11,169 | INFO | Training Accuracy: 0.845, Training MCC: 0.688, Validation Accuracy: 0.733, Validation MCC: 0.529, Fold: 5
2022-09-01 23:43:11,170 | INFO | AVG Training Accuracy: 0.852, AVG Training MCC: 0.710, AVG Validation Accuracy: 0.733, AVG Validation MCC: 0.519

2022-09-01 23:43:11,177 | INFO | Beginning analysis on XGBoost Classifier:
2022-09-01 23:43:11,177 | INFO | -----------------------

2022-09-01 23:43:11,211 | INFO | Selecting 27 principal components making up 80% of the variance.

2022-09-01 23:46:05,384 | INFO | Best parameter set: {'alpha': 0.2, 'gamma': 2, 'lambda': 1, 'max_depth': 2, 'n_estimators': 20, 'subsample': 0.5}

2022-09-01 23:46:05,384 | INFO | Best MCC score: 0.448

2022-09-01 23:46:05,419 | INFO | Training Accuracy: 0.845, Training MCC: 0.715, Validation Accuracy: 0.800, Validation MCC: 0.350, Fold: 1
2022-09-01 23:46:05,434 | INFO | Training Accuracy: 0.793, Training MCC: 0.551, Validation Accuracy: 0.533, Validation MCC: 0.253, Fold: 2
2022-09-01 23:46:05,449 | INFO | Training Accuracy: 0.828, Training MCC: 0.624, Validation Accuracy: 0.467, Validation MCC: 0.000, Fold: 3
2022-09-01 23:46:05,463 | INFO | Training Accuracy: 0.862, Training MCC: 0.741, Validation Accuracy: 0.600, Validation MCC: 0.065, Fold: 4
2022-09-01 23:46:05,477 | INFO | Training Accuracy: 0.828, Training MCC: 0.639, Validation Accuracy: 0.600, Validation MCC: 0.246, Fold: 5
2022-09-01 23:46:05,479 | INFO | AVG Training Accuracy: 0.831, AVG Training MCC: 0.654, AVG Validation Accuracy: 0.600, AVG Validation MCC: 0.183

2022-09-01 23:46:05,566 | INFO | Beginning analysis on Random Forest Classifier:
2022-09-01 23:46:05,566 | INFO | -----------------------

2022-09-01 23:46:05,583 | INFO | Selecting 25 principal components making up 80% of the variance.

